date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-02-15T00:00:00.000Z,4.89,5.035,4.8,4.875,8775648,4.89,5.035,4.8,4.875,8775648,0.0,1.0
2024-02-16T00:00:00.000Z,4.89,5.08,4.84,4.9,7296774,4.89,5.08,4.84,4.9,7296774,0.0,1.0
2024-02-20T00:00:00.000Z,4.83,5.1,4.79,4.92,7477612,4.83,5.1,4.79,4.92,7477612,0.0,1.0
2024-02-21T00:00:00.000Z,4.64,4.805,4.62,4.79,5457639,4.64,4.805,4.62,4.79,5457639,0.0,1.0
2024-02-22T00:00:00.000Z,4.44,4.75,4.43,4.71,8943699,4.44,4.75,4.43,4.71,8943699,0.0,1.0
2024-02-23T00:00:00.000Z,4.38,4.53,4.36,4.46,6560090,4.38,4.53,4.36,4.46,6560090,0.0,1.0
2024-02-26T00:00:00.000Z,4.57,4.6,4.35,4.39,7252731,4.57,4.6,4.35,4.39,7252731,0.0,1.0
2024-02-27T00:00:00.000Z,4.71,4.795,4.57,4.6,11001934,4.71,4.795,4.57,4.6,11001934,0.0,1.0
2024-02-28T00:00:00.000Z,4.59,4.77,4.11,4.42,11858753,4.59,4.77,4.11,4.42,11858753,0.0,1.0
2024-02-29T00:00:00.000Z,4.585,4.81,4.49,4.69,11037498,4.585,4.81,4.49,4.69,11037498,0.0,1.0
2024-03-01T00:00:00.000Z,4.54,4.67,4.5,4.63,5118678,4.54,4.67,4.5,4.63,5118678,0.0,1.0
2024-03-04T00:00:00.000Z,4.43,4.7,4.39,4.62,6287062,4.43,4.7,4.39,4.62,6287062,0.0,1.0
2024-03-05T00:00:00.000Z,4.24,4.39,4.17,4.39,8795502,4.24,4.39,4.17,4.39,8795502,0.0,1.0
2024-03-06T00:00:00.000Z,4.3,4.47,4.26,4.3,5275289,4.3,4.47,4.26,4.3,5275289,0.0,1.0
2024-03-07T00:00:00.000Z,4.43,4.44,4.29,4.34,4794905,4.43,4.44,4.29,4.34,4794905,0.0,1.0
2024-03-08T00:00:00.000Z,4.42,4.53,4.34,4.47,4892045,4.42,4.53,4.34,4.47,4892045,0.0,1.0
2024-03-11T00:00:00.000Z,4.48,4.725,4.44,4.44,7271263,4.48,4.725,4.44,4.44,7271263,0.0,1.0
2024-03-12T00:00:00.000Z,4.34,4.375,4.23,4.34,8452724,4.34,4.375,4.23,4.34,8452724,0.0,1.0
2024-03-13T00:00:00.000Z,4.29,4.45,4.285,4.34,7201403,4.29,4.45,4.285,4.34,7201403,0.0,1.0
2024-03-14T00:00:00.000Z,4.17,4.2975,4.11,4.28,7457184,4.17,4.2975,4.11,4.28,7457184,0.0,1.0
2024-03-15T00:00:00.000Z,4.12,4.27,4.11,4.14,14500671,4.12,4.27,4.11,4.14,14500671,0.0,1.0
2024-03-18T00:00:00.000Z,4.0,4.16,3.97,4.16,12878026,4.0,4.16,3.97,4.16,12878026,0.0,1.0
2024-03-19T00:00:00.000Z,4.06,4.1,3.98,4.0,6529396,4.06,4.1,3.98,4.0,6529396,0.0,1.0
2024-03-20T00:00:00.000Z,4.03,4.1,3.95,4.01,10242785,4.03,4.1,3.95,4.01,10242785,0.0,1.0
2024-03-21T00:00:00.000Z,4.09,4.28,4.05,4.11,8974064,4.09,4.28,4.05,4.11,8974064,0.0,1.0
2024-03-22T00:00:00.000Z,4.05,4.12,4.0,4.06,8715694,4.05,4.12,4.0,4.06,8715694,0.0,1.0
2024-03-25T00:00:00.000Z,4.08,4.2,4.06,4.07,4500139,4.08,4.2,4.06,4.07,4500139,0.0,1.0
2024-03-26T00:00:00.000Z,4.06,4.185,4.05,4.1,8577231,4.06,4.185,4.05,4.1,8577231,0.0,1.0
2024-03-27T00:00:00.000Z,4.14,4.15,4.05,4.1,4884037,4.14,4.15,4.05,4.1,4884037,0.0,1.0
2024-03-28T00:00:00.000Z,4.11,4.23,4.09,4.13,6250844,4.11,4.23,4.09,4.13,6250844,0.0,1.0
2024-04-01T00:00:00.000Z,4.08,4.14,4.03,4.13,5814457,4.08,4.14,4.03,4.13,5814457,0.0,1.0
2024-04-02T00:00:00.000Z,3.87,4.03,3.8332,4.03,12184520,3.87,4.03,3.8332,4.03,12184520,0.0,1.0
2024-04-03T00:00:00.000Z,3.88,3.95,3.8,3.9,7934789,3.88,3.95,3.8,3.9,7934789,0.0,1.0
2024-04-04T00:00:00.000Z,3.9,4.04,3.86,3.93,6553808,3.9,4.04,3.86,3.93,6553808,0.0,1.0
2024-04-05T00:00:00.000Z,3.8,3.92,3.78,3.91,9034503,3.8,3.92,3.78,3.91,9034503,0.0,1.0
2024-04-08T00:00:00.000Z,3.77,3.84,3.73,3.81,6256922,3.77,3.84,3.73,3.81,6256922,0.0,1.0
2024-04-09T00:00:00.000Z,3.84,3.92,3.78,3.84,5215162,3.84,3.92,3.78,3.84,5215162,0.0,1.0
2024-04-10T00:00:00.000Z,3.74,3.78,3.66,3.74,7771430,3.74,3.78,3.66,3.74,7771430,0.0,1.0
2024-04-11T00:00:00.000Z,3.86,3.955,3.78,3.83,7521131,3.86,3.955,3.78,3.83,7521131,0.0,1.0
2024-04-12T00:00:00.000Z,3.73,3.87,3.7,3.85,8803045,3.73,3.87,3.7,3.85,8803045,0.0,1.0
2024-04-15T00:00:00.000Z,3.53,3.785,3.51,3.76,15973752,3.53,3.785,3.51,3.76,15973752,0.0,1.0
2024-04-16T00:00:00.000Z,3.56,3.65,3.47,3.51,7230973,3.56,3.65,3.47,3.51,7230973,0.0,1.0
2024-04-17T00:00:00.000Z,3.57,3.66,3.54,3.58,4283854,3.57,3.66,3.54,3.58,4283854,0.0,1.0
2024-04-18T00:00:00.000Z,3.55,3.64,3.48,3.58,5011490,3.55,3.64,3.48,3.58,5011490,0.0,1.0
